,text,favorite_count,retweet_count,created_at,Target
22,RT @rupertschlegelm: ðŸ‘‡Joint #EU-#Brazil efforts to work for #transparency in supply chains! It wonâ€™t happen without business and civil sociâ€¦,0,7,2022-05-19 09:46:15+00:00,2
23,"RT @EUinmyRegion: How can we better empower #RuralAreas communities? 

Come discuss the #RuralVisionEU with us, join the #RuralPact Confereâ€¦",0,4,2022-05-19 09:30:15+00:00,0
24,"RT @EK_Hrvatska: Smatrate li da ste najbolji ekoloÅ¡ki poljoprivrednik ðŸšœ ili da imate najbolji ekoloÅ¡ki restoran ðŸ½?

Prijavite se za ðŸŸ¢ #EUOrâ€¦",0,2,2022-05-19 08:43:11+00:00,0
25,RT @EuroCommerce: Apply now for the first annual #EUOrganic Awards ðŸŒ¿. The 7 categories and 8 awards include the â€˜Best Organic Food Retailerâ€¦,0,3,2022-05-19 08:39:51+00:00,0
26,RT @OrganicsEurope: Do you know any #biodistricts? Invite them to apply for the #EUorganic Awards! Deadline for application is 8 June â°ðŸ‘‰ htâ€¦,0,2,2022-05-19 08:39:26+00:00,2
27,"RT @EiropasKomisija: AicinÄm lÄ«dz 8. jÅ«nijam pieteikties pirmajai ðŸ‡ªðŸ‡ºES bioloÄ£iskÄs raÅ¾oÅ¡anas balvai 7âƒ£ kategorijÄs: 

ðŸŒ±LabÄkÄ lauksaimnieceâ€¦",0,2,2022-05-19 08:39:07+00:00,0
28,Tune in today at lunchtime â¤µï¸ #eaAgrifood #IMCAP https://t.co/QzIdK0oxPU,9,5,2022-05-19 08:13:13+00:00,0
29,"RT @EUgreenresearch: Do you need partners to apply to the #EUMissions calls for proposals?

On 19 May, attend the Brokerage event to
ðŸ–ï¸Meetâ€¦",0,52,2022-05-19 07:49:31+00:00,0
30,"RT @SOILGUARD_H2020: ðŸ“¢We will be holding an event on soil biodiversity, conservation and policy as part of the #EUGreenWeek!

Don't miss ouâ€¦",0,12,2022-05-18 12:54:13+00:00,2
31,"RT @jwojc: State aid: Commission approves â‚¬1.2 billion Italian scheme to support agricultural, forestry, fishery and aquaculture sectors inâ€¦",0,4,2022-05-18 11:50:19+00:00,2
32,"RT @EP_Agriculture: .@EP_Agriculture will visit ðŸ‡©ðŸ‡° next week.
Learn more about agenda and a press conference during the missionâ¤µï¸
https://tâ€¦",0,2,,0
33,"RT @FAOBrussels: Food security in Ukraine: @FAO distributes seed potatoes to vulnerable rural families.

Thanks to financial support from @â€¦",0,9,2022-05-18 10:07:19+00:00,2
34,"RT @AParentiEU: Câ€™Ã¨ tempo fino allâ€™8 giugno per candidarsi ai premi dell'UE per la produzione biologica. 

Premiano l'eccellenza nella cateâ€¦",0,2,2022-05-18 09:14:18+00:00,0
35,"RT @EU_ENV: Join us for the #Natura2000Awards Ceremony! ðŸ†

Today, we award the best #Natura2000 projects, working #ForNature all across Eurâ€¦",0,36,2022-05-18 09:13:47+00:00,0
36,"RT @europainitalia: ðŸŒ±Scopri i premi dell'UE per la produzione biologica! 

Ãˆ possibile candidarsi fino all'8 giugno!

#EUOrganic",0,3,2022-05-18 08:22:16+00:00,0
37,RT @PawelBienkowski: EU Seminar on Standards for Agri-food products kicks off in Johannesburg. @JohnAClarkeEU leading a panel discussing #Eâ€¦,0,3,2022-05-18 07:55:40+00:00,0
38,RT @vitigeoss_EU: During the upcoming #EUGreenWeek #VitiGEOSS project organises a partner event on the implementation of #DataAnalytics forâ€¦,0,3,2022-05-18 07:17:05+00:00,2
39,"ðŸš‰ Trains! Buses! Cycling infrastructure! Transport on-demand! Sharing and pooling!

Rural Europe needs sustainable mobility solutions.

Participate in the conversation at the #RuralPact conference.

ðŸ“Brussels
ðŸ“… 15-16 June

Register: https://t.co/zXce3p3RCN https://t.co/uim7mOHdim",19,7,2022-05-18 06:59:28+00:00,2
40,"RT @Food_EU: ðŸ“£ Let's hear your view on #NGTs!

New Genomic Techniques can help to make agri-food systems more sustainable 

Safety of consuâ€¦",0,16,2022-05-18 06:22:24+00:00,0
41,"RT @EU_ENV: ðŸ“£ Deadline extended!

You now have time until 26 May to save your spot for the #EUGreenWeek and join the debate on
ðŸŒ± #EUBiodiveâ€¦",0,33,2022-05-17 15:37:18+00:00,0
42,"RT @EUinSA: #EU Seminar on Standards for Agri-food products

18-19 May, Johannesburg 

This event is a must for anyone interested in buyingâ€¦",0,3,2022-05-17 13:07:19+00:00,2
43,RT @OrganicsEurope: #Organic food has a central role to play in adapting our canteens to the environmental &amp; agricultural challenges of tomâ€¦,0,3,2022-05-17 12:41:46+00:00,0
44,"LIFE will fund projects on:
ðŸŒ± nature &amp; biodiversity - â‚¬242 million
ðŸŒ± circular economy &amp; quality of life - â‚¬158 million
ðŸŒ± climate change - â‚¬99 million
ðŸŒ±clean energy transition - â‚¬98 million

Learn how to apply â¤µï¸ https://t.co/brit0zvlH9",15,11,2022-05-17 11:14:41+00:00,2
45,"RT @IUCNBrussels: Healthy soils are crucial for growing food, filtering water &amp; mitigating climate change.

ðŸ“…On June 1, join our event on #â€¦",0,14,2022-05-17 09:56:32+00:00,2
46,"RT @EU_Eurostat: ðŸ–The EUâ€™s pig population reached almost 146 million in 2020 before declining. In 2021 it was 2% higher than in 2010.
ðŸ„Boviâ€¦",0,37,2022-05-17 09:06:22+00:00,2
47,ðŸ· Which EU country has the most pigs? https://t.co/yuUTuGInTl,11,6,2022-05-17 09:06:00+00:00,0
48,"RT @EU_Commission: Don't be afraid.
Don't be afraid to be who you are.
Don't be afraid to show your true colours.
â¤ï¸ðŸ§¡ðŸ’›ðŸ’šðŸ’™ðŸ’œ

Today we reaffirâ€¦",0,295,2022-05-17 08:56:13+00:00,1
49,"RT @EUAgri: Call for journalists!

Join the ðŸ‡ªðŸ‡º business delegation accompanying @jwojc to Vietnam and Singapore.

All details â¤µï¸",0,5,2022-05-17 07:50:53+00:00,0
50,"#SchoolSchemeEU brings
ðŸŽ free fruit,
ðŸ¥• vegetables,
ðŸ¥› &amp; milk
to millions of children across the EU.

How can it be reformed to better promote healthy &amp; sustainable diets?

Public consultation: https://t.co/n9ZwXWqxmo

#EUHaveYourSay https://t.co/vI3ebhNZjB",18,7,2022-05-17 07:05:36+00:00,2
51,Follow the debate with @FAO's @MaximoTorero live â¤µï¸ https://t.co/kNCfsxQwiw,4,0,2022-05-17 06:54:42+00:00,0
52,"RT @CopernicusECMWF: Are you looking for a dataset for agriculture &amp; agro-ecological models?

Check out newly released #C3S app with agromeâ€¦",0,39,2022-05-16 16:19:52+00:00,2
53,"On Food for Europe podcast: the impact of Russia's invasion of Ukraine on EU agriculture.

 We discuss it with farmers, environment experts and EU officials.

ðŸŽ§ On all podcast platforms

#Food4EU",26,8,2022-05-16 16:00:18+00:00,0
54,"RT @Food_EU: Our bi-weekly newsletter is out! 

Read up on:
- @EFSA_EU &amp; @EU_ECHA announce delay in Glyphosate assessment
- First Internatiâ€¦",0,6,2022-05-16 15:59:20+00:00,0
55,"@jwojc .@jwojc will visit Vietnam &amp; Singapore with a delegation of representatives from the European agri-food sector.

The objective is to facilitate EU food exports, give European producers the opportunity to meet local partners.

More info: https:/",1,0,2022-05-16 14:11:54+00:00,0
56,"Call for journalists!

Join the ðŸ‡ªðŸ‡º business delegation accompanying @jwojc to Vietnam and Singapore.

All details â¤µï¸",4,5,2022-05-16 14:07:36+00:00,0
57,RT @ecfin: Russiaâ€™s war against Ukraine is testing EUâ€™s economic resilience. Risks to the forecast for economic activity and inflation areâ€¦,0,27,2022-05-16 13:28:38+00:00,1
58,RT @SecVilsack: Pleased with the continued collaboration with @EUAgri Commissioner Wojciechowski @jwojc at the G7 and now here in his homeâ€¦,0,16,2022-05-16 11:50:44+00:00,0
59,RT @ForumForAg: Here are the experts for our 1st panel discussion that will tackle the question: Can we achieve the environmental targets wâ€¦,0,2,2022-05-16 09:30:26+00:00,0
60,"RT @ficompass: Tomorrow, our #ficompass event â€˜Access to finance for #smallerfarms in the #EUâ€™ will start with statements from @EU_Commissiâ€¦",0,2,2022-05-16 09:16:31+00:00,2
61,RT @HorizonMagEU: Advanced tech cuts pesticide use by 58% through accurate forecasts and user-friendly advice. Discover more âž¡ï¸ https://t.câ€¦,0,8,2022-05-16 09:16:11+00:00,0
62,RT @HorizonMagEU: @EgbertsEric @DigitalEU @EUAgri @ZEKvSR @EUinNL @Food_EU @CORDIS_EU @EU_ENV @EUgreenresearch @EU_HaDEA,0,1,2022-05-16 09:15:13+00:00,0
63,"RT @EUClimateAction: ðŸª±ðŸŒ¿ðŸ‡ªðŸ‡º #MissionSoil call for proposals is open!

Among others, we're looking for innovative ideas on how to develop certâ€¦",0,20,2022-05-16 08:48:21+00:00,2
64,"RT @Food_EU: The transformation towards sustainable #foodsystems is a global challenge

Our dialogue with #MERCOSUR countries &amp; Chile is thâ€¦",0,5,2022-05-16 08:40:34+00:00,0
65,"RT @jwojc: Important bilateral meeting in Warsaw with @USDA ðŸ‡ºðŸ‡¸ Secretary of Agriculture @SecVilsack.

Main topics being discussed:
âž¡ï¸cooperâ€¦",0,10,2022-05-16 08:23:08+00:00,0
66,"How will digitalisation change Europeâ€™s rural areas?

Discuss the future of rural Europe at the #RuralPact conference

ðŸ“… Brussels, 15-16 June

Register: https://t.co/dmiwNQ5BCR https://t.co/bzN5fFSzmp",17,9,2022-05-16 08:07:42+00:00,0
67,"Horizon 2020 project @SoildiverAgro is testing sustainable soil management practices which can be used across Europe.

15 case studies focus on some of the most important agricultural crops.

Find out more: https://t.co/LOCUilWqty https://t.co/39dr13RHQr",18,9,2022-05-15 07:01:00+00:00,2
68,"Digital technologies can make it easier to
ðŸ’» access services
âš™ï¸ find a job
ðŸ›ï¸ run a business 
in Europeâ€™s rural areas.

Come discuss at the #RuralPact conference.
ðŸ“…15-16 June, Brussels
Register: https://t.co/zXce3p3RCN https://t.co/me4LxqgmZ1",7,6,2022-05-14 15:30:03+00:00,0
69,RT @RuralDesarrollo: ðŸ‘¨â€ðŸ’¼ Compartimos el vÃ­deo de la intervenciÃ³n de @RamonSumoy en la presentaciÃ³n del VIII Foro Nacional de Desarrollo Rurâ€¦,0,3,2022-05-14 15:24:34+00:00,0
70,"RT @jwojc: I welcome the ambition of the CommuniquÃ© and its strong condemnation of Russia's military aggression in Ukraine ðŸ‡ºðŸ‡¦.

@G7
#FoodSeâ€¦",0,4,2022-05-14 15:23:40+00:00,2
71,"ðŸ‡ªðŸ‡ºðŸ‡¸ðŸ‡ª New Protected Designation of Origin from Sweden registered today! 

ðŸ§€ WrÃ¥ngebÃ¤cksost is a semi-hard cheese made from organic cowâ€™s milk in the Guldkroken region.

More info: https://t.co/KioCQnDuDf https://t.co/wGDncAYG4S",19,13,2022-05-13 15:06:46+00:00,0
72,"RT @EP_Agriculture: .@EP_Agriculture meets next Tuesday to discuss:
ðŸ”¹Situation of global food markets with @MaximoTorero &amp; Members of ðŸ‡ºðŸ‡¦ Paâ€¦",0,10,2022-05-13 11:01:28+00:00,0
73,"RT @rgoscinny: New event for people interested in the future of rural Europe: the EU #RuralPact conference.

Topics: rural development, jobâ€¦",0,3,2022-05-13 11:01:07+00:00,0
74,"RT @jwojc: On 13 and 14 May, I'm in #Stuttgart to participate in the meetings of the @G7 ministers of agriculture. We will discuss the consâ€¦",0,3,2022-05-13 10:43:58+00:00,0
75,"RT @EU_Growth: We need to move goods in/out of Ukraine!

Ukrainian wheat exports took 10% of the 2021ðŸŒ supply. The EU will partially liberaâ€¦",0,10,2022-05-13 08:54:11+00:00,1
76,"FAOâ€™s open-access Hand in Hand Geospatial Platform, which provides data on agriculture and food security, was awarded as the best collaborative platform towards data-driven agriculture at the Geospatial World Forum.

Check it out at https://t.co/lj8azzaUF0 https://t.co/68lI5ljHIP",15,7,2022-05-13 07:25:59+00:00,0
77,"RT @EUAgri: Today the EU establishes Solidarity Lanes to help Ukraine export agricultural goods.

Russiaâ€™s invasion &amp; its blockade of Ukranâ€¦",0,14,2022-05-12 15:41:17+00:00,2
78,0,0,2,2022-05-12 15:30:22+00:00,0
79,"Categorien:
ðŸŒ± Beste biologische landbouwer
ðŸŒ± Beste biologische regio
ðŸŒ± Beste biologische stad
ðŸŒ± Beste biologisch biodistrict
ðŸŒ± Beste biologische KMO
ðŸŒ± Beste biologisch restaurant

#EUOrganic ðŸ†",1,0,2022-05-12 15:16:36+00:00,0
80,"Kategorije:
ðŸŒ± Najbolji ekoloÅ¡ki poljoprivrednik
ðŸŒ± Najbolja ekoloÅ¡ka regija
ðŸŒ± Najbolji ekoloÅ¡ki grad
ðŸŒ± Najbolji ekoloÅ¡ki â€žbiookrugâ€
ðŸŒ± Najbolji ekoloÅ¡ki MSP
ðŸŒ± Najbolji trgovac ekoloÅ¡kim prehrambenim proizvodima na malo
ðŸŒ± Najbolji ekoloÅ¡ki restoran

#EUOrganic ðŸ†",3,2,2022-05-12 15:00:57+00:00,0
81,"SoutÄ›Å¾nÃ­ kategorie:
ðŸŒ± NejlepÅ¡Ã­ ekofarmÃ¡Å™
ðŸŒ± NejekologiÄtÄ›jÅ¡Ã­ region
ðŸŒ± NejekologiÄtÄ›jÅ¡Ã­ mÄ›sto
ðŸŒ± NejekologiÄtÄ›jÅ¡Ã­ biodistrikt
ðŸŒ± NejekologiÄtÄ›jÅ¡Ã­ malÃ½ Äi stÅ™ednÃ­ podnik
ðŸŒ± NejlepÅ¡Ã­ maloobchodnÃ­ prodejce ekologickÃ½ch potravin
ðŸŒ± NejekologiÄtÄ›jÅ¡Ã­ restaurace

#EUOrganic ðŸ†",0,0,2022-05-12 15:00:16+00:00,0
82,"Priskategorier:
ðŸŒ± Bedste Ã¸kologiske landbruger
ðŸŒ± Bedste Ã¸kologiske region
ðŸŒ± Bedste Ã¸kologiske by
ðŸŒ± Bedste Ã¸kologiske Ã¸kodistrikt
ðŸŒ± Bedste Ã¸kologiske SMV
ðŸŒ± Bedste detailhandel med Ã¸kologiske fÃ¸devarer
ðŸŒ± Bedste Ã¸kologiske restaurant

#EUOrganic ðŸ†",0,0,2022-05-12 14:59:52+00:00,0
83,"Categorien:
ðŸŒ± Beste biologische landbouwer
ðŸŒ± Beste biologische regio
ðŸŒ± Beste biologische stad
ðŸŒ± Beste biologisch biodistrict
ðŸŒ± Beste biologische KMO
ðŸŒ± Beste biologisch restaurant

#EUOrganic ðŸ†",0,0,2022-05-12 14:59:17+00:00,0
84,"Auhinnakategooriad:
ðŸŒ± parim mahetootja
ðŸŒ± parim mahetootmist vÃ¤Ã¤rtustav piirkond
ðŸŒ± parim mahetootmist vÃ¤Ã¤rtustav linn
ðŸŒ± parim mahepiirkond
ðŸŒ± parim mahetootmise VKE
ðŸŒ± parim mahetoidu jaemÃ¼Ã¼ja
ðŸŒ± parim mahetoidurestoran

#EUOrganic ðŸ†",0,0,2022-05-12 14:58:49+00:00,0
85,"Palkintoluokat:
ðŸŒ± Paras luomuviljelijÃ¤
ðŸŒ± Paras luomualue
ðŸŒ± Paras luomukaupunki
ðŸŒ± Paras bioalue
ðŸŒ± Paras luomualan pk-yritys
ðŸŒ± Paras luomuelintarvikkeiden vÃ¤hittÃ¤ismyyjÃ¤
ðŸŒ± Paras luomuravintola

#EUOrganic ðŸ†",1,0,2022-05-12 14:58:23+00:00,0
86,"Categories:
ðŸŒ± meilleur agriculteur biologique
ðŸŒ± meilleure rÃ©gion biologique
ðŸŒ± meilleure ville biologique
ðŸŒ± meilleur biodistrict biologique
ðŸŒ± meilleure PME biologique
ðŸŒ± meilleur dÃ©taillant de produits alimentaires biologiques
ðŸŒ± meilleur restaurant biologique

#EUOrganic ðŸ†",0,0,2022-05-12 14:57:46+00:00,0
87,"DÃ­jkategÃ³riÃ¡k:
ðŸŒ± A legjobb nÅ‘i Ã©s a legjobb fÃ©rfi Ã¶kolÃ³giai mezÅ‘gazdasÃ¡gi termelÅ‘
ðŸŒ± A legjobb Ã¶kolÃ³giai rÃ©giÃ³
ðŸŒ± A legjobb Ã¶kolÃ³giai vÃ¡ros
ðŸŒ± A legjobb biokÃ¶rzet
ðŸŒ± A legjobb Ã¶kolÃ³giai kkv
ðŸŒ± A legjobb bioÃ©lelmiszer-kiskereskedÅ‘
ðŸŒ± A legjobb Ã¶kolÃ³giai Ã©tterem

#EUOrganic ðŸ†",0,0,2022-05-12 14:57:16+00:00,0
88,"Kategorie:
ðŸŒ± Najlepszy rolnik ekologiczny
ðŸŒ± Najlepszy region ekologiczny
ðŸŒ± Najlepsze miasto ekologiczne
ðŸŒ± Najlepszy biookrÄ™g ekologiczny
ðŸŒ± Najlepsze MÅšP ekologiczne
ðŸŒ± Najlepszy sprzedawca detaliczny Å¼ywnoÅ›ci ekologicznej
ðŸŒ± Najlepsza restauracja ekologiczna

#EUOrganic ðŸ†",0,0,2022-05-12 14:55:58+00:00,0
89,"Categorias:
ðŸŒ± Melhor Agricultor BiolÃ³gico
ðŸŒ± Melhor RegiÃ£o Bio
ðŸŒ± Melhor Cidade Bio
ðŸŒ± Melhor Â«BiodistritoÂ»
ðŸŒ± Melhor PME Bio
ðŸŒ± Melhor Loja de Produtos Alimentares Bio
ðŸŒ± Melhor Restaurante Bio

#EUOrganic",0,0,2022-05-12 14:55:17+00:00,0
90,"Categorii:
ðŸŒ± Cel mai bun agricultor ecologic
ðŸŒ± Cea mai bunÄƒ regiune ecologicÄƒ
ðŸŒ± Cel mai bun oraÈ™ ecologic
ðŸŒ± Cel mai bun eco-district
ðŸŒ± Cel mai bun IMM ecologic
ðŸŒ± Cel mai bun comerciant cu amÄƒnuntul de produse alimentare bio
ðŸŒ± Cel mai bun restaurant ecologic

#EUOrganic ðŸ†",0,0,2022-05-12 14:54:47+00:00,0
91,"Kategorije:
ðŸŒ± najboljÅ¡i ekoloÅ¡ki kmetovalec
ðŸŒ± najboljÅ¡a ekoloÅ¡ka regija
ðŸŒ± najboljÅ¡e ekoloÅ¡ko mesto
ðŸŒ± najboljÅ¡a ekoregija
ðŸŒ± najboljÅ¡e ekoloÅ¡ko MSP
ðŸŒ± najboljÅ¡i trgovec z ekoloÅ¡ko hrano na drobno
ðŸŒ± najboljÅ¡a ekoloÅ¡ka restavracija

#EUOrganic ðŸ†",0,0,2022-05-12 14:53:57+00:00,0
92,"CategorÃ­as :
ðŸŒ± Mejor agricultor ecolÃ³gico
ðŸŒ± Mejor regiÃ³n ecolÃ³gica
ðŸŒ± Mejor ciudad ecolÃ³gica
ðŸŒ± Mejor biodistrito ecolÃ³gico
ðŸŒ± Mejor pyme ecolÃ³gica
ðŸŒ± Mejor tienda de alimentos ecolÃ³gicos
ðŸŒ± Mejor restaurante ecolÃ³gico

#EUOrganic ðŸ†",4,1,2022-05-12 14:53:27+00:00,0
93,"Priskategorier:
ðŸŒ± BÃ¤sta ekojordbrukare
ðŸŒ± BÃ¤sta ekoregion
ðŸŒ± BÃ¤sta ekostad
ðŸŒ± BÃ¤sta ekodistrikt
ðŸŒ± BÃ¤sta ekologiska SMF-fÃ¶retag
ðŸŒ± BÃ¤sta Ã¥terfÃ¶rsÃ¤ljare av ekolivsmedel
ðŸŒ± BÃ¤sta ekorestaurang

#EUOrganic ðŸ†",0,0,2022-05-12 14:52:23+00:00,0
94,RT @LinsNorbert: Such an important step! Thank you @jwojc and @AdinaValean!,0,5,2022-05-12 12:41:12+00:00,0
95,"@ToscanaBXL Ã‰ possibile candidarsi in italiano! #EUOrganic
âž¡ï¸ https://t.co/Q8wYIXV4bt",1,0,2022-05-12 12:27:20+00:00,0
96,"RT @EU_Commission: With transport routes blocked or destroyed by Russia, 20M tonnes of grain are stuck in #Ukraine. We're establishing Soliâ€¦",0,117,2022-05-12 12:16:35+00:00,1
97,RT @AdinaValean: Ukraine's exports are the driver of these ðŸ‡ªðŸ‡ºðŸ‡ºðŸ‡¦ Solidarity Lanes. Strengthening our transport links will also make it easieâ€¦,0,6,2022-05-12 12:15:15+00:00,2
98,"RT @Transport_EU: Following Russiaâ€™s unjustified invasion, Ukraine can no longer export goods via traditional routes.

To prevent a globalâ€¦",0,15,2022-05-12 12:12:52+00:00,1
99,"Today the EU establishes Solidarity Lanes to help Ukraine export agricultural goods.

Russiaâ€™s invasion &amp; its blockade of Ukranian ports are threatening global #FoodSecurity.

The EU will help organise alternative logistics routes using all transport modes.
#StandWithUkraine",27,14,2022-05-12 12:12:38+00:00,1
100,"RT @vonderleyen: Ukraine is the worldâ€™s granary. By hampering vital exports, the Kremlinâ€™s war is threatening food security worldwide.

Todâ€¦",0,1275,2022-05-12 12:09:06+00:00,1
101,"RT @jwojc: Before my departure to #Stuttgart for @G7, I met with the IPARD Agency staff, visited a small exhibition with 6 Local Action Groâ€¦",0,8,2022-05-12 11:42:15+00:00,2
102,"Press conference on the new #SolidarityLanes to help Ukraine export agricultural goods.

Follow live from 14:00 â¤µï¸ #StandWithUkraine https://t.co/mqhJS2XkAG",3,1,2022-05-12 11:40:25+00:00,0
103,"RT @Food_EU: Plants are our main source of food &amp; nutrition.

That's why plant health is a key element of our #EUFarm2Fork strategy. 

So wâ€¦",0,42,2022-05-12 08:10:13+00:00,0
104,"RT @HorizonMagEU: Digital innovation will improve the fruit and flowers in our homes. 

Learn how âž¡ï¸ https://t.co/t50eWufD4C

#ResearchImpaâ€¦",0,2,2022-05-12 07:40:46+00:00,0
105,"RT @wbogensberger: Wer ist der beste #Biobauer bzw. Die beste #BiobÃ¤urin in der EUðŸ‡ªðŸ‡º?

Wir suchen die innovativsten und nachhaltigsten Kandâ€¦",0,1,2022-05-11 15:22:05+00:00,0
106,"How does the #CAP contribute to animal welfare and antimicrobial use reduction?

By supporting investments in better housing conditions, feeding, and health management, and training for farmers.

New study on #AnimalWelfare â¤µï¸",22,15,2022-05-11 13:32:19+00:00,2
107,"RT @EUinmyRegion: #RuralVisionEU: your next job could be in the countryside ðŸŒ³

Learn more about the new opportunities that the EUâ€™s #Digitaâ€¦",0,8,2022-05-11 12:28:42+00:00,2
108,Online event for people and businesses interested in  #bioeconomy â¤µï¸ #CBEInfoDay https://t.co/tPBcp9dnDO,5,2,2022-05-11 07:32:37+00:00,0
109,"We are looking for small businesses processing #organic food!

Bakeries, wineries, cheesemakers, olive oil mills and all other organic food manufacturers are invited to apply the #EUOrganic Awards.

Info in all EU languages: https://t.co/sjmaq7OEwe https://t.co/QssZNNF8qa",20,10,2022-05-11 07:27:00+00:00,2
110,"Who's the best #organic farmer in the EU?

We're looking for the most innovative &amp; sustainable candidates for the #EUOrganic Awards ðŸ†

ðŸ“† Applications are open until 8 June.

â†“ Information in all EU languages â†“
https://t.co/SgEcOQgYxC https://t.co/ZHBkaaUIYv",21,10,2022-05-10 15:30:26+00:00,0
